participant:assignmentId,condition,interested-Bear,complex-Bear,time-Bear,progress-Bear,rule-Bear,future-learn-0-Bear,future-learn-1-Bear,interested-Bunny,complex-Bunny,time-Bunny,progress-Bunny,rule-Bunny,future-learn-0-Bunny,future-learn-1-Bunny,interested-GreenMonster,complex-GreenMonster,time-GreenMonster,progress-GreenMonster,rule-GreenMonster,future-learn-0-GreenMonster,future-learn-1-GreenMonster,interested-Squid,complex-Squid,time-Squid,progress-Squid,rule-Squid,future-learn-0-Squid,future-learn-1-Squid,age,gender,race,ethnicity,thoughts,comments
A1BSA7FVVJGZ15:3YDGXNSEO09YMVQ42NVQ8JQJ61684M,0,8,7,5,8,8,8,8,7,4,7,10,10,6,2,7,4,7,10,10,2,2,3,9,4,1,1,8,2,42,male,white,nonhisp,I am not sure,
A1C59M3HPCO503:3DI28L7YXBTY3X3CS8YO2VF25LRE1D,0,1,8,1,1,1,2,3,1,8,1,1,3,4,2,1,4,1,4,6,8,6,5,1,10,10,10,7,1,22,female,white,nonhisp,I don't know,
A1CKIYN01NV9GJ:3OUYGIZWR8D2TZ7K53AZI2VWEZXP0E,1,1,6,1,1,1,10,10,1,6,1,1,1,10,10,10,6,10,10,10,10,10,1,6,1,1,1,10,10,30,female,white,nonhisp,how people classify things,
A1D4A0N1ZJ3D6G:3WQQ9FUS6B9I7UBDH25DGXWPGUQB80,0,9,2,9,10,10,8,2,3,9,3,5,3,10,7,4,9,5,6,4,8,7,9,5,7,9,10,6,2,43,male,white,nonhisp,idk,
A1EPK034C4K1Q2:3Z4AIRP3C7S79XUTNDOGQK09LQFX1G,1,4,6,6,4,1,5,8,1,10,1,1,1,8,8,10,1,10,10,10,4,2,6,8,6,6,1,5,8,28,male,asian,nonhisp,It was fun a survey i have done in a long time.,No comment
A1G452MFAS690B:34PGFRQONPQZFE573XY0S1IO656JWA,0,2,7,4,5,8,9,6,8,2,8,8,6,7,5,9,6,5,4,7,5,6,2,8,4,3,9,5,9,29,female,white,nonhisp,Remembering preferences,n/a
A1GD980NB9Y7SF:3PJUZCGDJ7VZJ1WGJIRHPR1ZST8896,0,10,1,10,10,10,4,1,1,10,1,1,2,10,8,1,10,1,4,3,8,8,7,4,1,6,7,6,7,34,male,white,nonhisp,learning methods and predictability,
A1HGSSITI7GRQS:34X6J5FLPUDUVH9LROZU0C02I5BQJ1,1,8,3,9,9,9,5,7,2,9,6,5,5,5,4,2,6,1,2,5,6,4,2,8,1,2,5,5,4,35,female,white,nonhisp,How we recognize patterns. ,
A1HSY4DI5PO5Z7:354P56DE9LIDO2NWIJZ2SMAU9YWS7L,1,5,5,1,5,10,10,10,5,10,3,1,1,10,10,4,10,6,1,1,10,10,10,1,10,10,10,10,1,23,female,mult,nonhisp,Food preferences. ,Thanks!
A1JYOZ111S9MIR:3LBXNTKX0SAPY2XORQ395QISJ2X9XV,0,5,6,10,6,10,7,5,10,2,2,2,10,10,9,3,8,8,8,6,7,6,7,7,6,5,4,4,2,26,female,white,nonhisp,,
A1M682B2WUSYJP:32AT8R96GMOFMDZSVRSD2EOEH80SUS,0,4,2,6,7,10,6,3,1,10,2,2,3,4,5,7,2,10,6,10,10,2,1,9,1,1,2,10,6,31,male,white,nonhisp,I'm honestly not sure.,
A1N4AZ1QXPOPXH:34YB12FSQZ3TJ0LSRP7AMQOHGCAGMD,1,10,9,9,6,6,8,10,9,8,8,8,8,8,8,9,7,7,9,8,8,8,10,9,9,7,6,8,10,31,male,white,nonhisp,Category learning,n/a
A1NC53WVIE8VVN:3WS1NTTKEZRQ2MIQR0EU68HSCT30FF,1,10,1,10,10,10,4,1,1,7,1,1,10,4,10,1,10,1,1,4,4,3,7,10,8,10,1,10,3,29,male,white,not-reported,I think it was my ability to learn and find a pattern on what the monster like. ,
A1RG0JH5X98J:39GXDJN2OUTXG89JMJWDH9QWJL2V8K,0,1,10,3,1,1,1,1,6,10,5,3,3,10,6,10,1,10,10,10,10,10,10,6,10,4,3,10,5,27,female,white,hisp,Pattern learning ,
A1SXSNMYZCHT0:3I0BTBYZAY0W2DZLWQ6IVTO8I4U0YD,0,2,7,3,3,8,8,9,2,10,1,1,3,8,5,2,9,1,1,6,8,9,10,1,10,10,10,8,1,34,female,white,nonhisp,I'm not sure.,
A1UEX245I12ZH7:33IZTU6J82G73HTN0W30MLNIBRBXSL,0,8,1,3,10,10,10,5,10,8,7,6,6,10,10,8,4,4,10,10,10,6,10,10,9,2,3,10,10,60,female,white,nonhisp,I can only guess the study is about how we categorize things/people and how we look for similarities to help us understand our world.,
A1UHNDB2EQ8TK0:33TIN5LC05PEY7NYWMPBO4P1L8R9Y1,0,5,5,2,1,4,4,7,5,5,2,1,4,4,7,5,5,2,1,4,4,7,10,5,10,10,10,4,3,25,female,black,nonhisp,PATTERNS,
A1UT24L635HEZ6:37WLF8U1WQ5WWJWJU0L8VMJOXT7K65,1,3,2,1,10,10,3,2,7,6,3,6,5,8,5,10,10,10,3,5,9,7,2,2,1,10,10,3,2,34,male,white,nonhisp,Learning patterns,
A1UXWUM04RAO59:31T4R4OBOTVXHLY0LX92DH6CNVN7CJ,0,7,9,7,5,7,6,7,6,6,3,9,9,9,3,5,5,3,9,9,6,3,8,9,9,3,4,9,7,30,female,white,nonhisp,How people learn.,I couldn't figure out the blue bear or the orange jellyfish and it's frustrating me still.
A1V1JNPU0KOA3X:308XBLVESJJOPZQ9GBBD7ERU6M4BR2,0,9,2,8,9,10,3,2,4,2,9,10,9,4,2,7,8,3,3,3,8,8,6,7,2,4,2,7,7,,male,NA,nonhisp,,
A1WRYUFOYFF8QO:3VHP9MDGROZAWED63G7E19JTLI4FCR,0,9,1,10,10,10,9,1,4,10,5,2,3,7,10,2,9,5,3,2,10,9,9,1,8,10,10,2,1,25,male,white,NA,Perception of actions.,
A1YC558J4E5KZ:3Y5140Z9DYVD0UO09TZ5O6VS0T7PI2,1,8,2,4,10,10,1,1,1,10,9,1,4,9,6,9,4,7,10,10,9,3,4,9,9,4,5,7,6,46,male,white,nonhisp,How people learn,
A1YM0IWPC72J7V:3K9FOBBF2IYFNAKTEHJQCXIPHIZNLH,1,1,10,5,1,1,8,10,5,7,7,8,3,8,10,8,1,7,10,10,1,1,10,1,10,10,10,1,1,24,male,asian,nonhisp,To figure out the pattern,
A1YTNGH5SMM2CJ:3Z4GS9HPNWPR5434UG1RXVEYMJQ77I,0,8,8,8,7,8,9,5,10,10,10,6,3,10,5,5,2,2,10,10,6,2,3,4,4,10,10,4,2,28,male,white,hisp,To determine whether I choose to spend more time making food choices related the easier to decipher creatures or the more confusing ones.,The questions were clear and I experienced no problems.
A228YSXU6H27QT:35GMH2SV3FWJZPADYAWZERSAYWZOE8,0,10,1,9,9,10,1,1,8,5,5,8,9,1,2,1,8,2,1,1,1,4,3,8,2,4,4,10,7,33,male,white,NA,Determining differences between visual changes in the monsters,
A22BQTBZLQETW4:3HMVI3QICK7W92K3S9AI9Y7INXW1YF,1,9,9,6,2,3,8,9,3,1,3,9,9,7,2,8,6,6,4,6,3,7,2,1,3,9,9,3,2,35,male,white,nonhisp,how fast someone can figure out the pattern if the was one,
A22DDO8NILSX6O:3HOSI13XH03N3M5OC67ZXFYQU6ZDDF,0,7,9,3,3,2,10,2,7,8,4,4,7,10,5,10,3,10,10,8,10,9,7,7,7,9,8,10,8,49,female,white,nonhisp,Sorting based on physical characteristics OR based on complete randomness.  :),
A23GB80BDI6PPL:3U5NZHP4LSHD4ZDG3BHKOUUD0HMHPX,1,8,6,6,8,8,5,8,6,8,5,6,6,3,6,7,2,9,6,10,10,2,3,9,3,3,3,5,2,31,female,mult,hisp,To see how much time we spent on each family depending on how well we did with guessing their food preferences. ,I liked this study!
A24LC97AU3QC7G:30LSNF239VAH8NNU7VOTSTNZPJ3I2W,1,5,1,10,10,10,10,1,5,10,2,2,3,10,8,5,6,1,5,7,10,6,2,9,2,1,4,10,8,35,male,white,nonhisp,What would we choose to spend most time on,
A24O8U6HKPJKVA:33LKR6A5KFZ0SGL9I3NJ1HF38UU1T4,1,2,9,1,2,2,8,1,2,10,1,2,2,8,1,5,5,3,6,7,3,3,10,2,9,10,10,3,3,32,female,white,nonhisp,I think the experiment was testing to see if I could find common qualities,
A266LNUJOVKCDS:3PW9OPU9PRZ68HRWZO3N0U6D8HB217,0,9,1,10,10,10,10,1,3,10,2,2,5,10,6,3,10,5,9,5,10,6,3,10,7,7,4,10,6,31,female,white,hisp,Find patterns?,
A26DGX4XQWOI7S:3EF8EXOTT2A6EDP4699FZBSUASY1JU,1,9,7,3,7,8,8,7,8,7,9,7,8,10,8,1,10,9,2,5,10,5,7,3,3,7,10,5,10,42,male,white,nonhisp,I'm not really sure,
A27BRY2BI6NNPW:3I02618YA1LI9LJ03AOJ79J3UO3PUJ,1,3,8,1,1,9,8,10,10,2,10,10,9,8,2,6,9,3,2,9,8,10,4,9,3,2,9,8,10,35,female,white,nonhisp,How well you can recall and remember the food choices for the monsters based on preference. ,n/a
A27PVIL93ZMY46:3LOTDFNYA8EJACJBK77FD3QWDYVWFQ,0,3,1,1,10,9,3,1,8,10,9,1,3,7,4,8,10,9,1,3,9,4,5,3,3,8,8,8,2,37,female,white,nonhisp,To see if people could find preferences based on appearance ,
A28HB7240OFGEW:3R8YZBNQ9IX1BM8JQFAXXMVTR9HQ7Y,1,1,10,1,1,2,7,2,1,10,1,1,1,1,1,5,5,4,5,8,5,9,10,1,10,10,10,8,9,25,male,white,nonhisp,Trying to see how well people could learn about the aliens.,
A29IBNSV45WIMQ:32XVDSJFP0C346DLSAMLKMUG6TVM2Q,1,10,1,9,10,9,8,4,4,10,9,3,3,8,9,3,10,6,2,3,8,9,10,3,6,8,9,8,5,29,male,white,nonhisp,finding patterns based on the monsters appearance.,
A2AGQGMZVSZVUJ:3WQQ9FUS6B9I7UBDH25DGXWPGTBB8J,1,10,8,9,3,4,8,9,3,2,3,9,10,8,2,3,2,4,8,10,7,2,9,10,8,3,3,8,9,44,female,white,nonhisp,not sure,
A2AJIRNA6L4IJI:3R2UR8A0IBVS5P1UTFMR2GDHE1ROXW,0,9,8,3,7,3,9,8,10,10,3,6,2,8,10,2,1,10,8,10,4,1,4,3,8,9,8,7,4,31,male,white,nonhisp,Learning the rules of what food each family prefers based on their shape and size.,
A2AMQX0BQZXG9N:3EJJQNKU9SKYGCTVG3L9TPUS1ZAHRP,0,5,10,3,6,8,1,10,1,1,1,9,10,1,5,8,1,10,10,10,1,1,1,10,1,2,2,10,1,43,female,white,nonhisp,patterns?,
A2C7A6E70NYNUI:33FOTY3KEN0J6ZJYWHSTC7FZK9C1C5,0,1,10,2,1,1,2,2,10,1,9,10,10,10,10,8,4,5,9,10,8,10,3,8,5,2,1,4,2,23,female,ai,nonhisp,I have no idea. ,
A2CF2BD4Q0ZDJN:37ZHEEHM6X194L2HS4Y1KE2IHH173A,1,3,3,3,9,10,3,2,7,7,9,9,10,3,4,2,3,2,9,10,3,2,8,10,7,3,5,9,7,54,male,white,nonhisp,Effort in classifications,
A2CJFO19NY4T5R:35USIKEBNSVX4PHMRDDONE0SRNBN6A,1,4,8,7,4,5,8,7,4,6,4,2,5,8,7,4,8,7,2,2,8,3,4,3,8,9,7,6,5,30,female,white,nonhisp,HOw long we'd stick with something when we were getting lots of negative reinforcement,
A2DVJ6OMVVYTC7:3R0T90IZ1TRGAE91E0DWJUJ5MXOGCB,0,2,9,1,1,1,2,4,10,2,10,10,10,10,10,2,8,2,2,2,2,4,9,3,8,8,9,9,10,28,male,other,hisp,How we learn about a beings eating habits based on how they look. ,
A2DWPP1KKAY0HG:32RIADZISTJG5F5DGL1VPAQKIWJ4SQ,1,10,10,10,2,5,7,9,5,1,3,10,10,10,3,5,2,4,10,10,7,3,8,9,9,4,8,8,10,24,male,white,nonhisp,To find out how people solve problems.,Great study. Enjoyed it.
A2DXEPC4QFV4R1:3OWEPKL08ARG8PVRANIGTS0OMYVN79,0,8,8,7,10,10,10,3,2,3,1,10,10,4,2,8,6,6,10,10,10,3,10,10,10,5,5,10,10,53,female,white,nonhisp,To see how well people could recognize patterns.,None.
A2F93SIUUV5HQH:3DL65MZB8EUIQ0DA85N8JRYT9IRCEA,1,1,10,1,1,1,10,6,7,2,8,10,10,9,1,9,4,6,9,7,10,9,6,1,10,10,10,4,1,31,female,white,nonhisp,I think it was about how people learn to make associations.,Thank you for the HIT!
A2FS4CFA35R6CN:3K4J6M3CXF8SHZC3UMH5DZTHMULGAR,1,10,10,10,1,1,10,10,3,3,2,10,10,4,1,3,2,2,10,10,2,1,3,1,2,10,10,3,1,69,female,white,nonhisp,to figure out the pattern of what monster preferred what food but had one monster that was simply random.,fun survey thanks
A2I960JYUZ8KAV:37QW5D2ZRH1HOGSFSOR86M6PKHI8S2,1,9,2,10,10,10,6,6,4,5,4,4,5,8,5,3,8,2,4,5,8,5,7,7,7,4,6,8,7,25,male,white,nonhisp,I'm not sure.,
A2IMMQ5AS3ZK78:3CFVK00FWM07GPE1F0X9AMW3MSAL65,0,7,4,4,8,10,1,3,1,10,10,1,3,10,10,3,7,4,4,5,10,7,10,1,10,10,10,1,1,25,male,white,nonhisp,How curious we are and if we just will go with the monster that has a clear rule of what foods it likes to eat.,
A2JOHICL072IY3:3SB4CE2TJWA33L7TJWH91LTCPL5AX3,1,1,7,1,1,5,9,10,1,7,1,1,5,9,10,1,3,1,1,5,9,10,10,10,10,7,3,9,10,53,female,white,nonhisp,,"It was fun, but challenging."
A2KG59JUICJLP0:38BQUHLA9XFHBD2QF8KIRZXJ7XVOM0,0,1,2,10,10,10,10,1,1,10,1,4,1,10,5,1,1,10,10,10,10,1,1,7,1,1,1,10,5,28,female,black,NA,monsters,
A2M3KQ9CKP7YW:36NEMU28XGSPGMBS6UBS8TA5AZ3MWJ,0,2,3,8,9,9,8,2,2,2,9,9,9,2,2,9,9,2,2,3,8,6,8,9,2,2,3,8,5,55,male,white,nonhisp,seeing how much effort people will put into learning the harder ones,Thank you!
A2M5VW97GIYLHB:3ON104KXQLB9CWMM0QBWMZT5O93W4L,0,2,9,3,2,3,6,9,8,2,8,8,10,8,2,9,2,8,10,10,9,4,4,5,5,3,5,7,7,27,female,white,hisp,"categorizing, recognizing patterns, or it could be something totally unrelated.",
A2MUCL20GTQJA0:3S06PH7KSSJTBRPCWDN4WDXH59O1D5,0,2,4,8,6,9,7,2,10,9,10,6,3,6,9,7,7,4,9,9,10,7,3,7,7,8,7,6,7,30,male,asian,nonhisp,Whether or not individuals subconsciously have preferences that affect their decision making.,Thank you for the chance to participate. 
A2N72OL21SAV0P:32N49TQG3HXBZW2YJHGRD0WR995VAR,0,1,6,1,1,4,9,10,1,10,1,1,2,10,10,6,2,10,10,9,9,3,6,4,6,5,7,5,5,29,male,white,nonhisp,Ability to observe differences between objects and determine patterns.,
A2NG1ZF8G87UDY:30LB5CDZNDPW739QSC8190XAOZRZ0Y,0,8,5,3,7,5,7,10,9,8,5,4,6,2,8,7,4,7,8,10,5,10,3,1,8,10,10,10,10,32,female,white,nonhisp,Learning patterns? Feedback influencing choice? I hope the giant thumbs down was some kind of Pavlovian trigger at least.,
A2OFN0A5CPLH57:3NGMS9VZTMXHZQXGUIXF9F4WIWOFFW,1,3,5,4,6,10,9,1,10,10,10,1,1,10,10,1,1,2,6,10,9,1,1,2,2,6,10,9,1,34,female,white,nonhisp,how people choose to learn more about information that is uncertain,
A2OVX9UW5WANQE:3YW4XOSQKR0FST0YI8DT6D15R8KU17,1,6,7,6,8,8,3,4,10,10,2,1,1,10,1,10,9,6,7,4,10,8,6,2,9,10,10,3,1,43,female,white,nonhisp,I do not know,none
A2P76QVLSGJR45:3TU5ZICBREG5B0D20K23BMRO2TNQ8L,1,10,3,7,8,10,6,10,4,10,2,3,3,9,10,9,1,9,10,10,10,8,5,10,8,8,9,10,10,38,female,white,nonhisp,no idea,
A2PXJTMWGUE5DC:36V4Q8R5ZLFKWPF6ULCMG4SJMZ7MQ2,0,5,2,2,10,10,2,10,8,9,6,7,8,7,8,2,1,1,10,10,1,10,10,10,10,1,2,10,3,58,female,white,nonhisp,Discovering small details?,Thank you!
A2Q1YS118AO2BP:338JKRMM27E6HV7EESZNYZ5I1USHAL,0,6,8,9,4,9,8,5,5,8,7,6,7,7,8,5,8,9,3,6,7,5,10,3,1,9,10,9,9,29,male,white,nonhisp,This experiment was about attention and decision making,Nice task
A2Q49PGT1MQAPI:36NEMU28XGSPGMBS6UBS8TA5AZPMW5,0,5,1,3,10,10,5,5,10,10,10,6,1,7,10,6,5,8,6,6,10,5,7,1,5,10,5,7,10,24,female,white,nonhisp,I'm not sure!,"Very interesting, curious about what it's about."
A2QSAOQ838LIII:3OCHAWUVGPZ9FYGFVNUYVZW8UWZKXQ,0,7,8,6,6,5,5,9,7,8,6,6,5,5,7,7,10,4,8,4,9,7,7,5,9,9,8,5,5,45,NA,white,nonhisp,i dont know,
A2QTP92PCZUGI2:3L0KT67Y8FVW3MJX5SP25ZURDWBSYQ,1,7,8,9,7,4,10,6,8,10,9,2,3,6,3,3,4,2,9,9,9,3,2,2,2,8,10,4,4,38,female,white,nonhisp,Categorization / pattern recognition,none
A2R9OK4M877ZCC:38SKSKU7R2CN9992H16Y7PM8VJCLI6,0,6,1,1,1,5,1,5,6,1,1,1,5,10,5,10,10,10,10,10,1,10,6,1,1,1,5,10,5,28,male,white,hisp,unsure,Thank you 
A2RCJ30AFLCI54:33M4IA01QHGV22TAL73VWBIMPONRXK,1,3,10,2,2,2,8,2,9,2,2,7,9,6,9,9,2,2,7,9,2,9,9,2,9,9,9,1,8,37,male,mult,nonhisp,Understanding patterns,
A2S75O867RJG0I:3II4UPYCOKMHSV9THSDJXE5PDKKQDR,0,5,7,8,1,3,7,6,10,5,4,6,1,10,5,9,1,10,10,10,8,10,8,10,6,7,8,5,8,22,male,opi,hisp,To see if people could figure out the rules for each monster.,
A2S8ZTPKX3B928:3ERMJ6L4DZ7AQ7ARYM3GGDBOH8LM78,0,1,1,1,5,10,1,1,8,10,10,3,2,10,8,1,6,6,8,4,10,4,1,1,1,5,10,1,1,24,female,black,nonhisp,,
A2SMAZGQOV2IAU:3Z2R0DQ0JIT5SIL8BCY27EP7XRIE27,1,10,1,9,10,10,10,10,7,6,4,9,8,10,10,9,3,4,10,10,10,10,1,10,1,1,2,10,3,41,female,black,nonhisp,Examining how we make choices based on how hard or easy the task is. ,
A2T2RV6G8AMC7Y:3P59JYT76MZ7H13517NX60P801QT2X,0,1,4,1,1,3,3,4,6,8,6,5,5,9,8,10,2,10,10,10,6,1,1,8,8,4,2,10,9,30,male,white,nonhisp,If we could distinguish patterns.,
A2TBWLOHTZNK54:3P1L2B7AD24X5VK5FWJ3RMIU7SFOL8,1,1,7,1,1,5,9,10,10,10,7,7,5,9,7,1,7,1,1,5,9,10,7,1,5,10,10,7,1,33,male,white,nonhisp,How people learn things.,
A2TH9DIRISH8FE:3PH3VY7DJMCPFTABLJ1MGV6EP3MWZB,1,7,1,6,10,10,6,1,1,10,1,2,1,5,5,4,4,2,3,6,6,5,6,3,2,6,9,6,5,26,male,black,nonhisp,decision making,
A2W8ZODKKQ7RYP:39GHHAVOMG6N6CMNTRSHX9ZXMDT4JX,1,9,1,2,10,10,5,1,9,3,4,10,10,10,1,10,10,10,5,2,10,9,10,10,10,2,2,10,9,47,female,white,nonhisp,My ability to determine the food rules for each monster family.,
A2WCDQDLMC6J72:3KB8R4ZV1FMX09HV00H18ADN4CCGBS,0,8,2,2,10,10,10,1,9,10,10,1,1,10,6,9,1,2,10,10,1,1,5,10,7,5,5,7,10,34,male,white,hisp,I have no idea,thanks
A2XJAGYVNVPCP0:3R5F3LQFV3ZHAK19UXACZ1TSM1POZT,0,10,1,10,10,10,8,7,8,8,1,3,4,9,5,6,9,1,2,5,7,5,7,10,1,3,4,8,5,41,female,black,NA,I am not sure but if I had to guess it would be to pattern noticing.,
A2XWD4PZM6JU0M:3WYGZ5XF3XU1JHUG1DOBWRFGFHYSKR,1,5,1,1,10,10,1,1,8,9,3,3,7,9,10,8,9,3,5,7,9,10,5,1,8,10,10,9,1,25,male,white,nonhisp,how peopel choose to carry out the free selection period,
A2Z70GL7HTFFQR:35L9RVQFCPXQW4LCKXGEY0HC8X8HUL,0,5,6,8,7,4,8,5,6,6,6,6,3,8,6,7,5,6,5,4,8,6,6,6,5,6,5,9,6,29,male,white,hisp,Perceptions of characteristics.,none
A2Z750U1HCWVEE:3ZAK8W07I5TFL4FGMP9TS8IVMGEU04,1,2,4,4,10,10,1,1,9,9,5,6,1,6,1,5,6,4,10,8,6,1,2,1,3,10,10,1,1,32,male,white,nonhisp,I have no clue,
A2ZJS73XSSMRTD:358UUM7WR0I1NNNJ3UZX2C5YNVW7RT,1,4,3,4,10,10,9,10,2,2,6,10,10,10,10,1,10,8,1,2,7,3,8,7,9,8,10,3,10,28,male,white,nonhisp,How people attempt to learn about others.,
A303U3NB6DSHBF:30LB5CDZNDPW739QSC8190XAOYY0Z4,0,9,1,7,10,10,6,3,1,10,2,1,1,9,1,3,8,7,6,5,6,6,4,5,7,6,5,1,4,47,male,white,nonhisp,patterns,
A30YUV6IU0T6I6:3PM8NZGV8ZVVQ1EA8SEVRL8HT2WXQ0,0,7,1,4,10,10,7,1,10,8,5,4,4,4,8,3,6,1,10,7,4,6,10,10,7,7,7,8,7,25,male,white,nonhisp,How people learn patterns.,
